party_id	list_order	candidate_name	birth_year	query	result_urls	result_titles	google_wikipedia_result	checked_at
osdp	5	Андрюшин Максим Валерьевич	1968	"""Андрюшин Максим Валерьевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:05Z
osdp	7	Аубакирова Раушан Абдрахманқызы	1987	"""Аубакирова Раушан Абдрахманқызы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:07Z
osdp	9	Әбдиев Еркін Қайырбекұлы	1998	"""Әбдиев Еркін Қайырбекұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:09Z
osdp	10	Баекенов Камбар Абдысатарович	1979	"""Баекенов Камбар Абдысатарович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:10Z
osdp	16	Жабаев Нурлан Койшыбаевич	1979	"""Жабаев Нурлан Койшыбаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:12Z
osdp	20	Кульмагамбетов Аслан Мухтарович	1978	"""Кульмагамбетов Аслан Мухтарович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:14Z
osdp	22	Ли Лариса Юрьевна	1978	"""Ли Лариса Юрьевна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:16Z
osdp	33	Татиков Талгат Кайруллович	1961	"""Татиков Талгат Кайруллович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:18Z
respublica	15	Бейсембаева Сабина Сакеновна	1986	"""Бейсембаева Сабина Сакеновна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:20Z
respublica	16	Бергенев Чингиз Адылгазыевич	1988	"""Бергенев Чингиз Адылгазыевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:21Z
respublica	17	Болысов Тохтар Коммунарович	1994	"""Болысов Тохтар Коммунарович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:23Z
respublica	29	Жампеисов Думан Абильтаевич	1982	"""Жампеисов Думан Абильтаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:25Z
respublica	68	Тогизбаева Айдана Кенбаевна	1990	"""Тогизбаева Айдана Кенбаевна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:27Z
adilet	1	Абдикешов Алмат Жанболатович	1984	"""Абдикешов Алмат Жанболатович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:29Z
adilet	3	Абилева Айымгул Акылбаевна	1990	"""Абилева Айымгул Акылбаевна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:30Z
adilet	6	Адамбаева Алия Раймкуловна	1984	"""Адамбаева Алия Раймкуловна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:32Z
adilet	7	Адамбек Кендебай Сарыбайұлы	1965	"""Адамбек Кендебай Сарыбайұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:34Z
adilet	14	Амиргалиев Мадияр Орынтаевич	1986	"""Амиргалиев Мадияр Орынтаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:36Z
adilet	15	Аскеров Эмин Халилович	1983	"""Аскеров Эмин Халилович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:38Z
adilet	16	Атабаева Гульзира Нуржановна	1994	"""Атабаева Гульзира Нуржановна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:40Z
adilet	18	Ахмедиев Дархан Мейрамулы	1990	"""Ахмедиев Дархан Мейрамулы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:42Z
adilet	19	Ахметов Сабит Мейрамович	1979	"""Ахметов Сабит Мейрамович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:44Z
adilet	20	Ахметов Съезбек Рахышевич	1971	"""Ахметов Съезбек Рахышевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:46Z
adilet	22	Ашимова Аяужан Турсынбековна	1982	"""Ашимова Аяужан Турсынбековна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:48Z
adilet	25	Баденова Асель Жанбулатовна	1989	"""Баденова Асель Жанбулатовна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:49Z
adilet	27	Байбеков Шалкар Заманбекович	1967	"""Байбеков Шалкар Заманбекович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:51Z
adilet	28	Байсакова Зульфия Мухамедбековна	1966	"""Байсакова Зульфия Мухамедбековна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:53Z
adilet	29	Байтурсынов Ғиззат Сейдахметұлы	1994	"""Байтурсынов Ғиззат Сейдахметұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:55Z
adilet	30	Бақытбекұлы Нұркен	1978	"""Бақытбекұлы Нұркен"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:57Z
adilet	33	Басин Вадим Борисович	1962	"""Басин Вадим Борисович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:00Z
adilet	34	Батырбеков Эрлан Гадлетович	1961	"""Батырбеков Эрлан Гадлетович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%82%D1%8B%D1%80%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2,_%D0%AD%D1%80%D0%BB%D0%B0%D0%BD_%D0%93%D0%B0%D0%B4%D0%BB%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87""]"	"[""Батырбеков, Эрлан Гадлетович Википедия https://ru.wikipedia.org › wiki › Б...""]"	true	2026-08-16T22:11:02Z
adilet	35	Батырхан Жолдас Нұрланұлы	1978	"""Батырхан Жолдас Нұрланұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:04Z
adilet	37	Баялиев Рустам Ахатханович	1975	"""Баялиев Рустам Ахатханович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:06Z
adilet	38	Баялышбаев Елдос Кайыркенұлы	1992	"""Баялышбаев Елдос Кайыркенұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:08Z
adilet	39	Бежецкий Сергей Владимирович	1969	"""Бежецкий Сергей Владимирович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:10Z
adilet	41	Бектуров Ренат Нурмолдаевич	1984	"""Бектуров Ренат Нурмолдаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:12Z
adilet	42	Беркимбаев Берик Серикович	1980	"""Беркимбаев Берик Серикович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:14Z
adilet	44	Бирмагамбетов Наурызбек Мерекешевич	1992	"""Бирмагамбетов Наурызбек Мерекешевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:16Z
adilet	45	Битемиров Даурен Мухтарович	1984	"""Битемиров Даурен Мухтарович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:18Z
adilet	47	Буршаков Сатыбалды Ересович	1968	"""Буршаков Сатыбалды Ересович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:20Z
