party_id	list_order	candidate_name	birth_year	wiki_language	rank	page_title	page_url	page_id	wikidata_id	score	signals	extract	review_status	review_note
respublica	36	Карпикова Назым Ермековна	1987	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	37	Касымбаев Мейрхат Мейрамханович	1980	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	37	Касымбаев Мейрхат Мейрамханович	1980	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	38	Келимбетова Айнур Шайзханкызы	1990	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	38	Келимбетова Айнур Шайзханкызы	1990	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	39	Кәрімжан Гүлназ Кәрімжанқызы	1985	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	39	Кәрімжан Гүлназ Кәрімжанқызы	1985	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	40	Кикимов Максат Сакенович	1986	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	40	Кикимов Максат Сакенович	1986	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	41	Конилхан Алия	1988	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	41	Конилхан Алия	1988	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	42	Кумысбеков Айбек Кумысбекович	1985	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	42	Кумысбеков Айбек Кумысбекович	1985	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
