party,order,surname,given_names,birth_year,age_2026,gender_guess,position_raw,residence_raw,place_type,place
Respublica,60,Смолякова,Екатерина Сергеевна,1987,39,ж,депутат Мажилиса Парламента РК VIII созыва,городе Талдыкорган,город,Талдыкорган
Respublica,61,Солтиев,Ернат Бакытжанович,1989,37,м,руководитель ТОО «Алматы Лакшери Трэвел»,городе Алматы,город,Алматы
Respublica,62,Суентаев,Дамир Серкбаевич,1984,42,м,"независимый директор АО «KEGOC», генеральный директор АО «НацЭКС»",городе Алматы,город,Алматы
Respublica,63,Сулейменов,Ерлан Мельсович,1974,52,м,генеральный директор ТОО «КДЛ «Олимп»,городе Астане,город,Астана
Respublica,64,Сулименко,Ирина Юрьевна,1979,47,ж,"учредительный директор ТОО «КАС Консалтинг софт», Президент Казахстанской ассоциации информационных технологий и инноваций»",городе Костанай,город,Костанай
Respublica,65,Сураган,Дурвудхан,1988,38,м,"профессор Nazarbayev University, академик НАН",городе Астане,город,Астана
Respublica,66,Тау,Нургул,1973,53,ж,депутат Мажилиса Парламента РК VIII созыва,городе Алматы,город,Алматы
Respublica,67,Темірхан,Нұрсұлтан Талғатұлы,1993,33,м,учредитель ТОО «Энерджи Тараз»,городе Тараз,город,Тараз
Respublica,68,Тогизбаева,Айдана Кенбаевна,1990,36,ж,советник Руководителя Центрального аппарата партии «Respublica»,городе Астане,город,Астана
Respublica,69,Тулеубаева,Анар Абетаевна,1986,40,ж,заместитель председателя Ассоциации по развитию искусственного интеллекта в Казахстане,городе Астане,город,Астана
Respublica,70,Уразгалиева,Зульфия Мергеновна,1982,44,ж,руководитель ИП «Евротекстиль»,городе Уральск,город,Уральск
Respublica,71,Утебаев,Галымжан Саламатович,1989,37,м,председатель Атырауского областного филиала партии «Respublica»,городе Атырау,город,Атырау
Respublica,72,Хайруллаев,Нуржигит Нурболатович,1980,46,м,председатель Мангистауского областного филиала партии «Respublica»,городе Актау,город,Актау
Respublica,73,Хасенов,Махамбет Кабдулкаироич,1975,51,м,генеральный директор ТОО «Special oil Projets»,городе Алматы,город,Алматы
Respublica,74,Хорошаш,Аскар Насибуллович,1974,52,м,председатель правления НАО «Turar Healthcare»,городе Астане,город,Астана
Respublica,75,Ходжаназаров,Айдарбек Асанович,1983,43,м,депутат Мажилиса Парламента РК VIII созыва,городе Астане,город,Астана
Ақ жол,1,Абильдин,Ермек Толеуулы,1980,46,м,председатель Карагандинского областного филиала ДПК «Ак жол»,городе Караганда,город,Караганда
Ақ жол,2,Арыстанова,Айгерим Атыгаевна,1996,30,ж,Руководитель службы поддержки молодежного предпринимательства ДПК «Ак жол»,городе Астана,город,Астана
Ақ жол,3,Ахметжаев,Даурен Хайруллаевич,1982,44,м,директор ТОО «Даниял құрылыс дизайн»,городе Тараз,город,Тараз
Ақ жол,4,Әуес,Жоламан Бейсеханұлы,1997,29,м,Индивидуальный предприниматель,городе Шу,город,Шу
Ақ жол,5,Барлыбаев,Ерлан Хайланович,1967,59,м,"заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва",городе Алматы,город,Алматы
Ақ жол,6,Бейсенбаев,Ержан Алмабекович,1990,36,м,заместитель председателя Алматинского городского филиала ДПК «Ак жол»,селе Абай Карасайского района Алматинской области,село,Абай
Ақ жол,7,Белшер,Нұрлан Тукмағанбетұлы,1973,53,м,президент АО «KazPetroDrilling»,городе Актау,город,Актау
Ақ жол,8,Бибаев,Бактыбек Сальбекович,1995,31,м,директор филиала ТОО «Texol Транс»,городе Астана,город,Астана
Ақ жол,9,Бисенов,Бекнур Амантаевич,1992,34,м,директор Атырауского филиала ТОО «КМG EP-Catering»,городе Актау,город,Актау
Ақ жол,10,Джумагалиев,Рустам Айсултанович,1981,45,м,секретарь Политического совета ДПК «Ак жол»,городе Астана,город,Астана
Ақ жол,11,Дюсембинов,Берик Салимжанович,1971,55,м,"депутат Мажилиса Парламента РК VII созыва, секретарь Политического совета ДПК «Ақ жол»",городе Астана,город,Астана
Ақ жол,12,Егинбаев,Ермек Молдакулович,1965,61,м,"председатель филиала ДПК «Ак жол» области Жетісу, председатель постоянной комиссии областного маслихата области Жетісу, область Жетісу",городе Талдыкорган,город,Талдыкорган
Ақ жол,13,Елубаева,Марал Куандыковна,1965,61,ж,декан школы педиатрии НАО «Карагандинский Медицинский университет»,городе Караганда,город,Караганда
Ақ жол,14,Ерубаев,Серик Сарсенович,1968,58,м,"заместитель председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва",городе Атырау,город,Атырау
Ақ жол,15,Еспаева,Дания Мадиевна,1961,65,ж,"председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва",городе Астана,город,Астана
Ақ жол,16,Жалмуканова,Лаззат Жумагуловна,1962,64,ж,директор КГУ «Средняя школа комплекс национального возрождения № 17» города Петропавловска,городе Петропавловск,город,Петропавловск
Ақ жол,17,Жампиисов,Рамазан Купесбаевич,1982,44,м,исполнительный директор «Ассоциации ECOJER»,городе Астана,город,Астана
Ақ жол,18,Жаукебаев,Бек-Мүхаммед Мейірбекұлы,1999,27,м,инженер ТОО «Connectivity Solutions»,городе Алматы,город,Алматы
Ақ жол,19,Жутаев,Махаббат Сагынбаевич,1968,58,м,"председатель Костанайского областного филиала ДПК «Ак жол», председатель постоянной комиссии по вопросам социальной сферы Костанайского областного маслихата",городе Костанай,город,Костанай
Ақ жол,20,Ибатуллина,Эльмира Павловна,1974,52,ж,управляющий партнер ТОО «First Legal Consulting group»,городе Алматы,город,Алматы
